PO_ID,PART_GLOBAL_ID,SUPPLIER_ID,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,PO_STATUS,CREATED_AT,APPROVED_AT,RECEIVED_AT,IS_MAVERICK
PO000001,G000000000,SUP011,67,25.88,1733.96,received,2025-04-25 00:00:00,2025-04-27 00:00:00,2025-05-10 00:00:00,False
PO000002,G000000001,SUP009,54,271.86,14680.44,received,2025-02-17 00:00:00,2025-02-19 00:00:00,2025-03-12 00:00:00,False
PO000003,G000000002,SUP001,297,101.49,30142.53,approved,2025-10-07 00:00:00,2025-10-11 00:00:00,,False
PO000004,G000000003,SUP010,152,367.1,55799.2,received,2025-03-23 00:00:00,2025-03-27 00:00:00,2025-04-24 00:00:00,True
PO000005,G000000004,SUP004,500,347.12,173560.0,received,2025-07-14 00:00:00,2025-07-15 00:00:00,2025-08-13 00:00:00,False
PO000006,G000000005,SUP010,145,366.1,53084.5,approved,2025-10-02 00:00:00,2025-10-03 00:00:00,,False
PO000007,G000000006,SUP007,50,255.14,12757.0,approved,2025-11-13 00:00:00,2025-11-16 00:00:00,,False
PO000008,G000000007,SUP012,45,34.93,1571.85,received,2025-05-29 00:00:00,2025-05-30 00:00:00,2025-06-20 00:00:00,False
PO000009,G000000008,SUP007,152,212.23,32258.96,approved,2025-03-25 00:00:00,2025-03-28 00:00:00,,False
PO000010,G000000009,SUP011,146,320.29,46762.34,approved,2025-02-06 00:00:00,2025-02-11 00:00:00,,False
PO000011,G000000010,SUP009,383,121.49,46530.67,received,2025-05-19 00:00:00,2025-05-24 00:00:00,2025-06-14 00:00:00,False
PO000012,G000000011,SUP001,127,372.48,47304.96,approved,2025-07-25 00:00:00,2025-07-28 00:00:00,,False
PO000013,G000000012,SUP010,458,327.29,149898.82,received,2025-09-13 00:00:00,2025-09-17 00:00:00,2025-10-23 00:00:00,True
PO000014,G000000013,SUP003,136,339.07,46113.52,received,2025-10-27 00:00:00,2025-10-31 00:00:00,2025-12-14 00:00:00,False
PO000015,G000000014,SUP004,80,236.64,18931.2,received,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-02-11 00:00:00,False
PO000016,G000000015,SUP011,226,274.44,62023.44,received,2025-11-02 00:00:00,2025-11-06 00:00:00,2025-12-16 00:00:00,False
PO000017,G000000016,SUP009,450,424.96,191232.0,approved,2025-02-28 00:00:00,2025-03-05 00:00:00,,False
PO000018,G000000017,SUP011,184,63.53,11689.52,received,2025-08-21 00:00:00,2025-08-22 00:00:00,2025-09-14 00:00:00,False
PO000019,G000000018,SUP003,269,411.99,110825.31,draft,2025-06-02 00:00:00,,,False
PO000020,G000000019,SUP009,321,101.53,32591.13,received,2025-03-24 00:00:00,2025-03-29 00:00:00,2025-05-08 00:00:00,False
PO000021,G000000020,SUP010,175,227.54,39819.5,received,2025-07-05 00:00:00,2025-07-08 00:00:00,2025-07-30 00:00:00,True
PO000022,G000000021,SUP010,494,49.26,24334.44,approved,2025-02-05 00:00:00,2025-02-10 00:00:00,,False
PO000023,G000000022,SUP003,347,221.75,76947.25,received,2025-05-16 00:00:00,2025-05-21 00:00:00,2025-07-05 00:00:00,False
PO000024,G000000023,SUP004,485,249.59,121051.15,approved,2025-04-13 00:00:00,2025-04-16 00:00:00,,False
PO000025,G000000024,SUP011,342,177.44,60684.48,draft,2025-08-20 00:00:00,,,False
PO000026,G000000025,SUP004,42,162.07,6806.94,received,2025-04-28 00:00:00,2025-05-03 00:00:00,2025-05-24 00:00:00,True
PO000027,G000000026,SUP012,333,40.61,13523.13,received,2025-01-17 00:00:00,2025-01-20 00:00:00,2025-01-31 00:00:00,False
PO000028,G000000027,SUP005,352,226.16,79608.32,received,2025-10-20 00:00:00,2025-10-25 00:00:00,2025-12-01 00:00:00,True
PO000029,G000000028,SUP008,423,192.07,81245.61,received,2025-12-04 00:00:00,2025-12-08 00:00:00,2026-01-06 00:00:00,False
PO000030,G000000029,SUP008,452,332.15,150131.8,approved,2025-11-27 00:00:00,2025-11-28 00:00:00,,False
PO000031,G000000030,SUP012,183,363.26,66476.58,received,2025-04-09 00:00:00,2025-04-11 00:00:00,2025-05-22 00:00:00,False
PO000032,G000000031,SUP007,103,136.17,14025.51,received,2025-02-08 00:00:00,2025-02-12 00:00:00,2025-03-26 00:00:00,True
PO000033,G000000032,SUP011,286,378.67,108299.62,draft,2025-05-02 00:00:00,,,False
PO000034,G000000033,SUP008,256,107.98,27642.88,received,2025-01-31 00:00:00,2025-02-02 00:00:00,2025-03-05 00:00:00,True
PO000035,G000000034,SUP007,145,418.04,60615.8,approved,2025-05-27 00:00:00,2025-05-31 00:00:00,,False
PO000036,G000000035,SUP012,411,256.76,105528.36,approved,2025-03-21 00:00:00,2025-03-23 00:00:00,,True
PO000037,G000000036,SUP001,306,335.05,102525.3,received,2025-06-10 00:00:00,2025-06-11 00:00:00,2025-06-21 00:00:00,False
PO000038,G000000037,SUP009,480,385.93,185246.4,received,2025-09-18 00:00:00,2025-09-19 00:00:00,2025-10-07 00:00:00,False
PO000039,G000000038,SUP002,355,389.89,138410.95,received,2025-10-19 00:00:00,2025-10-21 00:00:00,2025-12-04 00:00:00,False
PO000040,G000000039,SUP010,51,197.36,10065.36,received,2025-09-25 00:00:00,2025-09-28 00:00:00,2025-10-21 00:00:00,True
PO000041,G000000040,SUP012,170,118.83,20201.1,received,2025-12-10 00:00:00,2025-12-13 00:00:00,2026-01-18 00:00:00,True
PO000042,G000000041,SUP002,14,214.35,3000.9,draft,2025-02-21 00:00:00,,,True
PO000043,G000000042,SUP004,269,130.36,35066.84,draft,2025-02-05 00:00:00,,,False
PO000044,G000000043,SUP006,155,83.62,12961.1,approved,2025-06-04 00:00:00,2025-06-09 00:00:00,,False
PO000045,G000000044,SUP011,280,18.4,5152.0,approved,2025-06-03 00:00:00,2025-06-04 00:00:00,,False
PO000046,G000000045,SUP003,145,65.21,9455.45,received,2025-10-11 00:00:00,2025-10-13 00:00:00,2025-11-06 00:00:00,True
PO000047,G000000046,SUP004,377,164.15,61884.55,approved,2025-05-16 00:00:00,2025-05-21 00:00:00,,False
PO000048,G000000047,SUP001,57,290.91,16581.87,approved,2025-01-23 00:00:00,2025-01-24 00:00:00,,False
PO000049,G000000048,SUP003,336,441.21,148246.56,received,2025-08-15 00:00:00,2025-08-20 00:00:00,2025-09-23 00:00:00,False
PO000050,G000000049,SUP002,48,426.1,20452.8,approved,2025-03-18 00:00:00,2025-03-23 00:00:00,,True
PO000051,G000000050,SUP006,308,255.35,78647.8,received,2025-01-22 00:00:00,2025-01-25 00:00:00,2025-02-24 00:00:00,False
PO000052,G000000051,SUP001,470,170.65,80205.5,approved,2025-12-08 00:00:00,2025-12-09 00:00:00,,False
PO000053,G000000052,SUP009,462,395.5,182721.0,draft,2025-03-21 00:00:00,,,False
PO000054,G000000053,SUP004,452,85.69,38731.88,approved,2025-04-01 00:00:00,2025-04-05 00:00:00,,True
PO000055,G000000054,SUP012,483,159.5,77038.5,draft,2025-12-09 00:00:00,,,False
PO000056,G000000055,SUP004,146,84.25,12300.5,approved,2025-07-15 00:00:00,2025-07-16 00:00:00,,False
PO000057,G000000056,SUP004,112,370.22,41464.64,received,2025-06-06 00:00:00,2025-06-08 00:00:00,2025-06-29 00:00:00,True
PO000058,G000000057,SUP004,214,157.79,33767.06,draft,2025-05-23 00:00:00,,,False
PO000059,G000000058,SUP009,214,310.59,66466.26,approved,2025-06-19 00:00:00,2025-06-20 00:00:00,,False
PO000060,G000000059,SUP005,101,267.56,27023.56,draft,2025-01-20 00:00:00,,,True
PO000061,G000000060,SUP007,186,331.92,61737.12,received,2025-11-07 00:00:00,2025-11-12 00:00:00,2025-11-26 00:00:00,False
PO000062,G000000061,SUP010,107,125.8,13460.6,approved,2025-01-01 00:00:00,2025-01-06 00:00:00,,False
PO000063,G000000062,SUP009,361,327.95,118389.95,approved,2025-12-10 00:00:00,2025-12-12 00:00:00,,False
PO000064,G000000063,SUP002,495,303.94,150450.3,received,2025-06-10 00:00:00,2025-06-11 00:00:00,2025-07-07 00:00:00,False
PO000065,G000000064,SUP011,219,156.89,34358.91,approved,2025-10-11 00:00:00,2025-10-13 00:00:00,,False
PO000066,G000000065,SUP011,491,179.93,88345.63,approved,2025-03-31 00:00:00,2025-04-05 00:00:00,,False
PO000067,G000000066,SUP007,290,377.67,109524.3,received,2025-04-18 00:00:00,2025-04-22 00:00:00,2025-06-05 00:00:00,False
PO000068,G000000067,SUP006,248,207.18,51380.64,approved,2025-09-19 00:00:00,2025-09-23 00:00:00,,False
PO000069,G000000068,SUP012,96,301.6,28953.6,received,2025-12-06 00:00:00,2025-12-11 00:00:00,2026-01-08 00:00:00,True
PO000070,G000000069,SUP004,354,150.03,53110.62,approved,2025-03-17 00:00:00,2025-03-18 00:00:00,,True
PO000071,G000000070,SUP008,322,384.64,123854.08,received,2025-08-01 00:00:00,2025-08-06 00:00:00,2025-08-25 00:00:00,False
PO000072,G000000071,SUP007,263,188.85,49667.55,received,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-02-07 00:00:00,True
PO000073,G000000072,SUP012,275,217.08,59697.0,received,2025-03-04 00:00:00,2025-03-08 00:00:00,2025-03-23 00:00:00,False
PO000074,G000000073,SUP011,281,444.73,124969.13,received,2025-08-15 00:00:00,2025-08-20 00:00:00,2025-09-28 00:00:00,False
PO000075,G000000074,SUP009,238,405.29,96459.02,approved,2025-09-01 00:00:00,2025-09-05 00:00:00,,False
PO000076,G000000075,SUP004,440,292.38,128647.2,approved,2025-09-24 00:00:00,2025-09-28 00:00:00,,False
PO000077,G000000076,SUP005,235,48.71,11446.85,received,2025-05-20 00:00:00,2025-05-23 00:00:00,2025-06-19 00:00:00,False
PO000078,G000000077,SUP002,80,80.61,6448.8,received,2025-03-20 00:00:00,2025-03-22 00:00:00,2025-04-02 00:00:00,False
PO000079,G000000078,SUP006,287,217.68,62474.16,received,2025-08-04 00:00:00,2025-08-08 00:00:00,2025-09-21 00:00:00,False
PO000080,G000000079,SUP001,448,398.09,178344.32,received,2025-09-02 00:00:00,2025-09-03 00:00:00,2025-10-02 00:00:00,False
PO000081,G000000080,SUP007,446,402.86,179675.56,approved,2025-10-03 00:00:00,2025-10-08 00:00:00,,False
PO000082,G000000081,SUP004,259,110.45,28606.55,received,2025-01-15 00:00:00,2025-01-19 00:00:00,2025-02-16 00:00:00,False
PO000083,G000000082,SUP007,380,86.79,32980.2,received,2025-03-07 00:00:00,2025-03-12 00:00:00,2025-04-22 00:00:00,True
PO000084,G000000083,SUP007,313,260.51,81539.63,received,2025-11-26 00:00:00,2025-11-30 00:00:00,2025-12-15 00:00:00,False
PO000085,G000000084,SUP003,35,128.17,4485.95,received,2025-08-21 00:00:00,2025-08-24 00:00:00,2025-09-21 00:00:00,False
PO000086,G000000085,SUP007,152,342.12,52002.24,approved,2025-05-10 00:00:00,2025-05-11 00:00:00,,False
PO000087,G000000086,SUP012,286,37.66,10770.76,draft,2025-04-25 00:00:00,,,False
PO000088,G000000087,SUP011,30,343.09,10292.7,draft,2025-04-13 00:00:00,,,False
PO000089,G000000088,SUP010,88,118.77,10451.76,received,2025-02-28 00:00:00,2025-03-05 00:00:00,2025-03-25 00:00:00,False
PO000090,G000000089,SUP005,402,175.47,70538.94,approved,2025-02-28 00:00:00,2025-03-02 00:00:00,,False
PO000091,G000000090,SUP002,306,26.17,8008.02,received,2025-12-13 00:00:00,2025-12-17 00:00:00,2026-01-18 00:00:00,False
PO000092,G000000091,SUP004,48,272.56,13082.88,approved,2025-05-05 00:00:00,2025-05-06 00:00:00,,False
PO000093,G000000092,SUP005,445,312.65,139129.25,approved,2025-10-17 00:00:00,2025-10-18 00:00:00,,True
PO000094,G000000093,SUP007,348,176.2,61317.6,received,2025-06-24 00:00:00,2025-06-25 00:00:00,2025-07-28 00:00:00,False
PO000095,G000000094,SUP002,231,432.94,100009.14,approved,2025-08-24 00:00:00,2025-08-26 00:00:00,,False
PO000096,G000000095,SUP012,277,434.98,120489.46,received,2025-10-03 00:00:00,2025-10-07 00:00:00,2025-11-12 00:00:00,False
PO000097,G000000096,SUP012,313,131.75,41237.75,draft,2025-02-14 00:00:00,,,True
PO000098,G000000097,SUP008,134,341.46,45755.64,received,2025-12-09 00:00:00,2025-12-13 00:00:00,2026-01-10 00:00:00,True
PO000099,G000000098,SUP006,103,227.08,23389.24,received,2025-05-13 00:00:00,2025-05-16 00:00:00,2025-06-09 00:00:00,False
PO000100,G000000099,SUP012,460,135.18,62182.8,received,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-05-01 00:00:00,False
PO000101,G000000100,SUP008,294,344.8,101371.2,approved,2025-11-27 00:00:00,2025-12-01 00:00:00,,False
PO000102,G000000101,SUP001,57,142.99,8150.43,received,2025-05-05 00:00:00,2025-05-08 00:00:00,2025-06-21 00:00:00,False
PO000103,G000000102,SUP009,281,164.53,46232.93,draft,2025-10-09 00:00:00,,,False
PO000104,G000000103,SUP012,242,132.85,32149.7,received,2025-03-03 00:00:00,2025-03-05 00:00:00,2025-04-01 00:00:00,True
PO000105,G000000104,SUP009,496,346.55,171888.8,received,2025-04-21 00:00:00,2025-04-25 00:00:00,2025-05-19 00:00:00,False
PO000106,G000000105,SUP009,315,138.1,43501.5,received,2025-04-10 00:00:00,2025-04-13 00:00:00,2025-05-04 00:00:00,False
PO000107,G000000106,SUP005,17,322.99,5490.83,received,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-03-08 00:00:00,True
PO000108,G000000107,SUP003,336,392.78,131974.08,received,2025-01-07 00:00:00,2025-01-12 00:00:00,2025-02-06 00:00:00,False
PO000109,G000000108,SUP008,184,95.2,17516.8,received,2025-09-02 00:00:00,2025-09-03 00:00:00,2025-09-14 00:00:00,False
PO000110,G000000109,SUP002,305,288.81,88087.05,received,2025-03-18 00:00:00,2025-03-23 00:00:00,2025-04-18 00:00:00,True
PO000111,G000000110,SUP004,70,257.76,18043.2,received,2025-11-02 00:00:00,2025-11-07 00:00:00,2025-11-28 00:00:00,False
PO000112,G000000111,SUP007,240,410.2,98448.0,received,2025-10-29 00:00:00,2025-11-02 00:00:00,2025-11-28 00:00:00,False
PO000113,G000000112,SUP001,322,432.65,139313.3,received,2025-04-17 00:00:00,2025-04-19 00:00:00,2025-05-12 00:00:00,False
PO000114,G000000113,SUP003,132,90.61,11960.52,received,2025-01-02 00:00:00,2025-01-06 00:00:00,2025-02-10 00:00:00,False
PO000115,G000000114,SUP008,159,29.2,4642.8,received,2025-05-25 00:00:00,2025-05-29 00:00:00,2025-06-09 00:00:00,False
PO000116,G000000115,SUP005,413,359.19,148345.47,received,2025-04-12 00:00:00,2025-04-16 00:00:00,2025-04-30 00:00:00,False
PO000117,G000000116,SUP011,86,410.16,35273.76,approved,2025-02-06 00:00:00,2025-02-07 00:00:00,,False
PO000118,G000000117,SUP005,314,340.8,107011.2,received,2025-05-28 00:00:00,2025-06-01 00:00:00,2025-06-15 00:00:00,False
PO000119,G000000118,SUP005,368,190.09,69953.12,received,2025-10-04 00:00:00,2025-10-08 00:00:00,2025-11-12 00:00:00,True
PO000120,G000000119,SUP001,465,202.93,94362.45,received,2025-05-09 00:00:00,2025-05-10 00:00:00,2025-05-22 00:00:00,False
PO000121,G000000120,SUP011,438,389.32,170522.16,received,2025-01-11 00:00:00,2025-01-14 00:00:00,2025-02-26 00:00:00,True
PO000122,G000000121,SUP003,250,240.75,60187.5,received,2025-05-23 00:00:00,2025-05-25 00:00:00,2025-07-08 00:00:00,False
PO000123,G000000122,SUP008,56,219.45,12289.2,received,2025-06-14 00:00:00,2025-06-15 00:00:00,2025-07-02 00:00:00,False
PO000124,G000000123,SUP012,263,140.37,36917.31,draft,2025-10-09 00:00:00,,,True
PO000125,G000000124,SUP002,171,124.79,21339.09,received,2025-07-26 00:00:00,2025-07-31 00:00:00,2025-08-07 00:00:00,False
PO000126,G000000125,SUP009,246,194.76,47910.96,received,2025-07-05 00:00:00,2025-07-10 00:00:00,2025-08-17 00:00:00,False
PO000127,G000000126,SUP001,114,131.17,14953.38,received,2025-05-28 00:00:00,2025-06-01 00:00:00,2025-07-09 00:00:00,False
PO000128,G000000127,SUP011,321,362.7,116426.7,approved,2025-06-09 00:00:00,2025-06-14 00:00:00,,True
PO000129,G000000128,SUP007,57,112.74,6426.18,approved,2025-02-28 00:00:00,2025-03-04 00:00:00,,False
PO000130,G000000129,SUP011,436,81.98,35743.28,draft,2025-05-30 00:00:00,,,False
PO000131,G000000130,SUP005,222,378.1,83938.2,draft,2025-05-05 00:00:00,,,False
PO000132,G000000131,SUP003,206,97.92,20171.52,received,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-04-05 00:00:00,False
PO000133,G000000132,SUP007,184,421.4,77537.6,received,2025-01-02 00:00:00,2025-01-05 00:00:00,2025-01-31 00:00:00,False
PO000134,G000000133,SUP010,347,227.99,79112.53,received,2025-10-03 00:00:00,2025-10-07 00:00:00,2025-11-05 00:00:00,True
PO000135,G000000134,SUP009,203,213.07,43253.21,received,2025-04-07 00:00:00,2025-04-09 00:00:00,2025-05-22 00:00:00,False
PO000136,G000000135,SUP007,32,153.41,4909.12,received,2025-07-15 00:00:00,2025-07-19 00:00:00,2025-08-04 00:00:00,False
PO000137,G000000136,SUP001,74,233.5,17279.0,received,2025-02-21 00:00:00,2025-02-25 00:00:00,2025-03-10 00:00:00,False
PO000138,G000000137,SUP008,17,329.26,5597.42,received,2025-12-02 00:00:00,2025-12-04 00:00:00,2025-12-15 00:00:00,False
PO000139,G000000138,SUP005,183,286.12,52359.96,received,2025-02-11 00:00:00,2025-02-14 00:00:00,2025-03-27 00:00:00,False
PO000140,G000000139,SUP006,330,327.64,108121.2,approved,2025-10-05 00:00:00,2025-10-06 00:00:00,,False
PO000141,G000000140,SUP004,333,312.71,104132.43,received,2025-04-27 00:00:00,2025-04-28 00:00:00,2025-06-01 00:00:00,False
PO000142,G000000141,SUP011,370,394.57,145990.9,received,2025-06-03 00:00:00,2025-06-04 00:00:00,2025-06-13 00:00:00,False
PO000143,G000000142,SUP001,160,170.93,27348.8,received,2025-05-06 00:00:00,2025-05-11 00:00:00,2025-06-13 00:00:00,False
PO000144,G000000143,SUP003,97,91.16,8842.52,approved,2025-07-15 00:00:00,2025-07-20 00:00:00,,False
PO000145,G000000144,SUP008,477,268.67,128155.59,received,2025-11-23 00:00:00,2025-11-26 00:00:00,2026-01-01 00:00:00,False
PO000146,G000000145,SUP001,470,365.02,171559.4,draft,2025-12-13 00:00:00,,,False
PO000147,G000000146,SUP002,236,426.18,100578.48,draft,2025-06-03 00:00:00,,,False
PO000148,G000000147,SUP007,363,123.79,44935.77,approved,2025-04-12 00:00:00,2025-04-16 00:00:00,,False
PO000149,G000000148,SUP002,131,180.89,23696.59,received,2025-06-01 00:00:00,2025-06-04 00:00:00,2025-06-12 00:00:00,False
PO000150,G000000149,SUP011,212,134.4,28492.8,received,2025-01-26 00:00:00,2025-01-31 00:00:00,2025-03-10 00:00:00,False
PO000151,G000000150,SUP005,407,362.5,147537.5,approved,2025-06-30 00:00:00,2025-07-02 00:00:00,,False
PO000152,G000000151,SUP010,138,309.83,42756.54,approved,2025-12-04 00:00:00,2025-12-06 00:00:00,,False
PO000153,G000000152,SUP011,340,32.15,10931.0,approved,2025-01-18 00:00:00,2025-01-23 00:00:00,,False
PO000154,G000000153,SUP003,56,410.69,22998.64,received,2025-08-01 00:00:00,2025-08-03 00:00:00,2025-08-22 00:00:00,True
PO000155,G000000154,SUP009,458,437.6,200420.8,received,2025-05-20 00:00:00,2025-05-22 00:00:00,2025-06-14 00:00:00,False
PO000156,G000000155,SUP008,422,143.39,60510.58,draft,2025-02-28 00:00:00,,,False
PO000157,G000000156,SUP002,82,343.06,28130.92,received,2025-12-13 00:00:00,2025-12-17 00:00:00,2026-01-28 00:00:00,False
PO000158,G000000157,SUP007,17,130.04,2210.68,received,2025-07-08 00:00:00,2025-07-11 00:00:00,2025-08-24 00:00:00,False
PO000159,G000000158,SUP011,491,176.59,86705.69,approved,2025-08-30 00:00:00,2025-08-31 00:00:00,,False
PO000160,G000000159,SUP009,177,413.14,73125.78,received,2025-02-02 00:00:00,2025-02-06 00:00:00,2025-03-04 00:00:00,False
PO000161,G000000160,SUP002,81,34.73,2813.13,received,2025-09-10 00:00:00,2025-09-11 00:00:00,2025-09-24 00:00:00,True
PO000162,G000000161,SUP009,79,184.06,14540.74,received,2025-10-04 00:00:00,2025-10-08 00:00:00,2025-11-21 00:00:00,False
PO000163,G000000162,SUP003,463,195.47,90502.61,received,2025-09-08 00:00:00,2025-09-13 00:00:00,2025-10-16 00:00:00,False
PO000164,G000000163,SUP005,26,315.27,8197.02,received,2025-08-16 00:00:00,2025-08-18 00:00:00,2025-09-17 00:00:00,True
PO000165,G000000164,SUP011,198,251.84,49864.32,draft,2025-07-03 00:00:00,,,False
PO000166,G000000165,SUP005,107,436.17,46670.19,draft,2025-08-21 00:00:00,,,True
