SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_REGION,RATING,AVG_LEAD_TIME_DAYS,PREFERRED_FLAG,TOTAL_SPEND,SUPPLIER_TIER,CONTRACT_END_DATE,QUALITY_CERTIFICATION
SUP001,Arctic Components,NA,4.6,12,True,1850000.5,Preferred,2027-06-30,ISO 9001
SUP002,BioFlux Precision,EU,4.2,18,False,980000.0,Approved,2026-12-31,ISO 13485
SUP003,Helios Fasteners,APAC,4.1,22,False,410000.75,Conditional,2026-03-31,ISO 9001
SUP004,Northwind Metals,NA,4.8,10,True,2250000.1,Preferred,2028-01-15,ISO 9001
SUP005,Orchid Motion,EU,3.9,28,False,620000.9,Conditional,2026-06-30,
SUP006,Quanta Actuators,NA,4.3,16,True,1340000.0,Preferred,2027-09-30,ISO 13485
SUP007,Regulus BioFab,EU,4.0,20,False,540000.4,Approved,2026-11-30,ISO 13485
SUP008,Sierra Microdrive,APAC,4.5,14,True,1120000.3,Preferred,2027-04-15,ISO 9001
SUP009,Titan Forge,NA,4.7,11,True,2055000.2,Preferred,2028-03-31,ISO 9001
SUP010,Umberline Tech,EU,3.8,30,False,380000.0,Conditional,2026-02-28,
SUP011,Vector Valveworks,NA,4.4,15,True,960000.0,Approved,2027-07-31,ISO 13485
SUP012,Willowridge Polymers,APAC,4.1,19,False,470000.55,Approved,2026-08-31,ISO 9001
